,run_id,created_at,instance,class_key,period,n_items,cap_mean,status_label,solver_version,objective,best_bound,gap,runtime_sec,run_batch
78,8bdcc072-74ab-48e9-b0cc-432b9054f764,2025-09-26T22:50:17.427949+00:00,ins#3,X331LB8,40,30,2818,TIME_LIMIT,lefo_mip_no_shelf_v1,742251.8286333318,734432.182540567,0.01053503109202532,600.0527350902557,11
7,67940d6d-6e02-4ecb-bd36-64f017c0d59d,2025-09-27T10:45:33.012994+00:00,ins#4,X331HB8,40,30,2947.425,TIME_LIMIT,lefo_mip_v1,773895.8243367529,766795.8912477753,0.009174274967903335,600.1302599906921,11
56,49a7b42c-9d89-4c20-b7e7-3ad23ce1c807,2025-09-27T02:31:51.991695+00:00,ins#1,X331LB8,40,30,2441.225,TIME_LIMIT,lefo_mip_no_shelf_v1,622651.3478763496,617411.6335399804,0.008415165813484636,600.080766916275,11
48,9b5d924d-1850-413e-8287-8c3f5a94abed,2025-09-27T03:52:26.840552+00:00,ins#2,X331LB8,40,30,2862.65,TIME_LIMIT,lefo_mip_no_shelf_v1,734763.8105716131,729304.4854089334,0.007430040897676579,600.4086430072784,11
60,9df7a4fd-929d-4a28-8de1-c29fa373a5e7,2025-09-27T01:51:34.967777+00:00,ins#5,X331LB8,40,30,2877.075,TIME_LIMIT,lefo_mip_no_shelf_v1,742602.6041339239,737345.5638322021,0.0070792107009278685,600.0525078773499,11
32,71f9dd76-3fb7-4e49-af49-2b3be78c34e1,2025-09-27T06:33:38.214718+00:00,ins#3,X331HB8,40,30,2943,TIME_LIMIT,lefo_mip_no_shelf_v1,762163.9301232258,756960.7880722258,0.006826801748750815,600.0620820522308,11
46,e2f80597-ac15-4525-9055-c3a6931404c9,2025-09-27T04:12:36.750606+00:00,ins#4,X331LB8,40,30,2874.325,TIME_LIMIT,lefo_mip_no_shelf_v1,736958.4133166985,732810.177267389,0.005628860427334368,600.0372710227966,11
6,ea84745c-f125-4680-ae8c-01e85a81331e,2025-09-27T10:55:34.117691+00:00,ins#4,X331HB8,40,30,2947.425,TIME_LIMIT,lefo_mip_no_shelf_v1,755460.2446512956,751889.5061486408,0.004726573672057364,600.0387670993805,11
16,be011098-f56d-4dd0-91d0-93fb09940888,2025-09-27T09:14:49.913891+00:00,ins#2,X331HB8,40,30,2961.875,TIME_LIMIT,lefo_mip_no_shelf_v1,766536.4559009905,763353.3045766427,0.00415264179523769,600.0463478565216,11
50,2974882c-49d3-4f8a-ba6e-58b827aec253,2025-09-27T03:32:17.89363+00:00,ins#5,X331HB8,40,30,2957.4,TIME_LIMIT,lefo_mip_no_shelf_v1,756396.6061606546,753429.0058663653,0.003923338986609616,600.037034034729,11
